"Sample","0027_XAV_iHMP2_FFA_SM-77FXR","0030_XAV_iHMP2_FFA_SM-6KUCT","0051_XAV_iHMP2_FFA_SM-9WOBP","0069_XAV_iHMP2_FFA_SM-9OS5Y","0393_XAV_iHMP2_FFA_SM-AMR37","0407_XAV_iHMP2_FFA_SM-AUP8B","0433_XAV_iHMP2_FFA_SM-9SNJ4","0508_XAV_iHMP2_FFA_SM-9X47O"
"Label","CD","CD","CD","CD","nonIBD","nonIBD","nonIBD","nonIBD"
"170.08152","197970.56192","93204.37236","16535.62402","338749.98919","10872402.5751","148110.71869","9355443.0882","3767064.95773"
"171.13809","5037876.70321","14943036.07855","2276601.49231","3343476.70919","458307700.41276","1523890.22084","5017529.75013","4138451.85832"
"171.08476",NA,NA,NA,NA,"246935.62251","46781.88711","554686.4011","242903.12204"
"172.14138","438431.67171","1481455.37617","201982.61585","271420.7415","48421184.83998","94921.33779","437107.83705","371335.2967"
"172.09708","22071853.37294","7982545.70584","5161243.15269","23344317.13204","23398564.25897","29987653.12964","17786842.13759","1435247.94614"
"172.99336","37571193.51413","18812576.7934","12024598.025","47374597.76888","14041059.37078","34060634.47497","23469627.21715","29755997.09548"
"173.11752","1647557.48709","1646888.88463","389696.28254","2994748.85041","23305624.51497","3535955.4482","12336846.04642","5164840.81887"
"173.10035","1292770.99736","449703.22174","309759.93242","1694564.72884","788774.67988","1484977.1812","809938.61299","62863.99068"
"173.08111","11862778.78521","7673456.5914","11266570.35324","24440109.88602","43225535.16543","33585100.44784","59911648.60548","39537912.0893"
"174.05525","122235.59214","170492.59553","4166.20547","180133.66756","3628304.85372","4612721.58357","1534491.3503","1812868.54166"
"173.9938","3862581.37781","1908118.45558","1241825.77141","5004877.07493","1409761.99268","3518111.88974","2371352.35286","3007211.93919"
"174.08436","994273.22766","582686.10287","846145.11204","1919757.77807","3336667.82262","2747577.67815","4897193.35358","3309262.85628"
"174.12085","112707.00885","118796.70662","19728.49056","136096.52793","2090771.65293","289188.05173","1056411.04027","410502.33933"
"174.99088","4889172.11394","2378917.61997","103346.3875","151511338.48459","145519.8626","500214.73897","3064427.49657","338181.7262"
"175.05854","327814.06388",NA,NA,"1131.61048","327418.01993","403569.87477","77027.20974","129246.6149"
"174.95534","80392485.50156","31759190.72548","54284016.39268","38255697.5671","68786259.44015","33707050.36141","48499168.647","65352849.13208"
"175.09653","1506124.99444","7069664.4112","1347675.5744","80276.50372","50093.35556","860621.39823","104540.04535","605078.40986"
"175.07556","6993111.38011","162246.99941","1410.26438","27795.0793","3328487.91348","2288692.27277","11337305.11383","1225377.8991"
"175.95861","2440753.14523","1000633.91665","1607485.30187","1218468.33394","1963677.87849","1188266.59759","1572400.95991","1588339.00656"
"176.09985","96746.6986","553949.57695","73455.78363",NA,"406037.19814","10345.09389",NA,"1397.63314"
"176.07067",NA,NA,"4050976.38417","34612674.42607","524264.42096","11069.20646","18668.86126","4254.4585"
"176.07887","700233.79786",NA,NA,NA,"248074.77543","206391.59677","1211932.62224","81175.24916"
"177.07412",NA,NA,"339291.03016","3355665.32701",NA,NA,NA,NA
"179.0343","326474.36806","6166983.89631","11193583.68349","607568161.84173","278236.89006","1322969.02185","947463.09333","7291779.04093"
"179.10687","2508085.99031","2715841.62725","4193070.93049","3337787.97772","2102582.64685","4368434.457","3892866.18094","5543602.12867"
"180.03805",NA,"434606.26066","853812.08048","56630291.77768","14258.10352","2534.46359","4426664.41949","2117946.84476"
"180.11034","39397.51822","26038.62397","339806.3043","88480.38489","18426.55758","101548.24452","126759.97556","230850.49851"
"180.0659","16462634.2566","39205126.86762","195475476.14784","39263000.10917","90841047.90316","83924347.67845","15550432.93732","5415256.97037"
"181.04989","3042400.61266","1793804.42792","461691.65755","3257024.40177","6925224.81069","7177546.08792","30244603.04919","3760963.78691"
"181.08626","18160.50854","32436.18724","4075.56503","362979.67437","1137760.4426","13478692.32679","24819319.79605","5449069.97767"
"181.06914","1301810.23352","546788.5787","5987848.83256","4585986.35154","7208634.93506","7176427.98343","453071.39809","60834.46059"
"182.04513","74151800.00592","21168503.06485","9302219.44635","47978100.04259","39959524.28832","59490834.08478","193916908.89928","5396446.30676"
"182.05318","245425.42873","123734.73346","12668.53199","96708.43326","561712.4315","588657.27382","2692999.26725","321361.09663"
"182.0816","15038488.24513","1392036.50896","15559.57166","8466866.45296","7157771.5904","727889.37717","1317821.98792","111091.75092"
"182.08959",NA,NA,NA,NA,"3966.1401","1299513.3183","2366947.52203","475796.96581"
"183.04831","5952581.02153","1193251.26375","545551.60752","3005611.43699","2837465.91114","4686040.61791","15637750.66183","44266.48318"
"183.13817","4761457.33895","3880703.45362","9195.88434","4935.41045","3445329.3033","4299209.48873","3157395.09475","3320592.47712"
"183.08485","1328687.07917","58991.26116",NA,"648750.18422","179413.54671","20195.94622","189958.86083","17390.2264"
"183.1383","492257.98648","107275.85923",NA,"2908050.48061","3545933.83862","2016824.75446","3815229.3762","121955.03678"
"184.14151","300529.14558","234717.58782",NA,NA,"174856.19903","245499.71603","114586.93562","214344.55145"
"184.14164","34140.30727",NA,NA,"261478.16695","139494.49386","164837.22491","380272.71543",NA
"184.09721","757976.7674","103754.77164","1562511.28445","2070935.72751","113921413.16364","9596905.45174","23426660.93335","5995855.80373"
"185.15391","1242394.14416","731066.58414","89608.94824","392709.49845","5464793.11445","972171.06249","3006879.37718","908674.06917"
"185.10054","30528.21371","3238854.77199","1745.61197","319290.27433","10613163.01949","845325.50729","2096154.03747","525282.94271"
"185.11753","58540.40739","546185.71527","248269.62018","878442.43399","2362531.08881","519594.23258","430029.83841","3228510.96475"
"186.02244","14386479.10054","6529593.28898","1792021.95232","23485371.25113","4387527.62687","509656.4684","82065.8436","5991522.63239"
"186.11289","4465379.58686","1114318.35998","129158.20518","15452181.05581","12034257.45861","15644576.41282","4480109.56119","1355544.65175"
"186.11277","9244901.195","2399600.83517","252562.5409","556051.00206","234368.92705","2507529.68252","611484.97522","1987701.84725"
"186.12093",NA,"4192.77255","7662.11665","6504.98433","116846.01523","1491.73414",NA,"173306.23298"
"186.15729","46568.52486","23811.83161","6285.85304",NA,"311706.26684","29768.35806","139697.69149","37361.29714"
"187.00637","46326031.87095","33198772.12486","124093.09694","924362.47289","17953275.48747","7906308.88838","1136504.77136","488432.51317"
"187.03693","74030013.60045","19981059.50861",NA,"53446427.76774","1618664.28529","2497239.85738","542126.8753","886994.2661"
"187.02558","773164.831","271528.53187",NA,"477811.42879","76881.69837",NA,NA,"217780.32625"
"187.13314","3105271.0436","272536.24661","1658259.53937","1767082.21467","15141167.18967","4238314.6223","11436694.5664","8015946.05074"
"187.09683","37222146.63432","26082895.03359","36781499.95683","51085685.65366","343699539.18437","273585918.16023","797284314.37654","177719334.49203"
"187.11614","136471.05053","2586854.60506","2960.98679","1391890.55232","947522.95115","1348124.36803","376351.0407","12961.24139"
"187.11598","809639.96476","190430.532","2380.68787","8766.26682",NA,"116430.9808",NA,"11361937.60023"
"188.03257","25912846.4722","23680364.75082","11246423.11718","27068998.52617","15493978.81053","70384594.68476","45029874.41613","61029783.85227"
"188.00959","3283341.98501","2307405.44408",NA,"6049.14922","1173446.24616","491062.59229","17635.83778",NA
"188.04019","6119495.47247","1704649.76269",NA,"4520035.08169","16667.81864","153331.29179","4399.79708","15082.36796"
"188.09999","3347869.10083","2394110.67495","3408131.55529","4761677.86558","32117886.1794","26790439.37118","77219669.56851","17348028.19361"
"188.0346","10272853.28296","10271687.8147","5161930.91668","151627.33166","7798086.23701","13699368.27953","13757436.44404","161897.39537"
"188.13649","193703.78675",NA,"69229.68588","45677.10413","1390176.87095","360384.18301","1043405.80912","771981.23209"
"189.03976","1482638.77016","1373526.88182","6527889.67323","14736242.87931","6635668.5634","4644636.85389","5302135.08336","1595484.73479"
"189.03755","1356853.44194","683992.61935",NA,NA,"23352.43428","835166.59835","354838.76554",NA
"189.00212","1822771.87527","1301742.11929",NA,"2491.54791","616923.62831","284303.88117","160806.36548","1388.47892"
"190.0519","11984657.84835","11308674.99604","2620354.42028","20236334.66179","26572802.23014","8503986.81814","4089898.83369",NA
"190.05025","242138684.7646","98536459.86852","4054020.51751","38671822.49415","140794105.11434","186958778.21806","112207694.94947","9468351.25703"
"191.05349","26796912.24673","10829585.5695","245710.73442","2308445.46724","14715498.74833","19827040.82386","11848544.72554","862735.02959"
