"","Overall"
"480.2513",28.482
"477.28177",28.481
"194.08935",28.459
"371.19034",28.445
"445.2118",28.432
"313.05042",28.424
"420.28423",28.389
"407.25748",28.322
"543.2551",28.298
"615.31649",28.259
"259.18165",28.229
"550.35175",28.224
"386.09169",28.169
"535.31028",28.124
"242.04351",28.111
"296.23108",28.093
"370.23907",28.076
"237.06623",28.076
"446.19367",28.076
"302.07581",28.043
"568.32067",28.042
"618.4373",27.993
"399.22135",27.984
"208.00702",27.956
"240.075",27.955
"454.28913",27.951
"566.27656",27.943
"201.11278",27.938
"611.28556",27.917
"611.34459",27.804
"509.25752",27.789
"493.16951",27.78
"497.3412",27.747
"260.18498",27.743
"347.15023",27.735
"385.05028",27.733
"753.59464",27.733
"554.50574",27.725
"443.29979",27.724
"227.0561",27.722
"393.29145",27.706
"195.05168",27.704
"494.98308",27.699
"475.21581",27.658
"733.57849",27.649
"663.53805",27.621
"166.05796",27.611
"477.25017",27.58
"713.3526",27.573
"503.26829",27.544
"564.37311",27.544
"454.26612",27.539
"175.09678",27.537
"379.0841",27.537
"507.29673",27.531
"453.31469",27.511
"367.11422",27.493
"130.06514",27.477
"317.17007",27.464
"497.29445",27.458
"395.31701",27.457
"521.2397",27.423
"243.12381",27.385
"453.17983",27.375
"457.28338",27.372
"335.15372",27.371
"540.33033",27.371
"532.30208",27.368
"370.28686",27.349
"549.28899",27.343
"481.34611",27.331
"117.92734",27.295
"467.33818",27.293
"523.27358",27.267
"353.11732",27.245
"619.44645",27.237
"208.06467",27.226
"499.23757",27.224
"330.1068",27.18
"521.29464",27.157
"541.26474",27.117
"321.13052",27.105
"414.20368",27.054
"383.15371",27.019
"471.34701",27.003
"329.10335",27.001
"379.14068",27
"545.1297",26.99
"230.14761",26.983
"463.27128",26.976
"385.22204",26.967
"386.14819",26.905
"453.28577",26.904
"319.16649",26.857
"409.27276",26.852
"374.27847",26.843
"171.02911",26.842
"554.14113",26.807
"595.38126",26.805
"659.50774",26.726
"591.32822",26.725
"500.24056",26.709
"451.26678",26.693
"427.20893",26.683
"636.51052",26.67
"267.11413",26.667
"800.57672",26.666
"418.30487",26.656
"557.45726",26.654
"369.17399",26.638
"332.22352",26.626
"503.26803",26.618
"504.27154",26.606
"353.10123",26.564
"466.23475",26.552
"401.30639",26.533
"487.27306",26.509
"359.20266",26.502
"607.45796",26.501
"574.4508",26.499
"423.25204",26.499
"278.11504",26.496
"387.18463",26.474
"467.31481",26.462
"689.35222",26.452
"723.38141",26.38
"641.35598",26.372
"281.13956",26.372
"355.14339",26.363
"245.04901",26.349
"303.16088",26.338
"400.22441",26.328
"229.11902",26.317
"724.38474",26.308
"206.01243",26.298
"369.24082",26.227
"541.3349",26.21
"492.34636",26.203
"269.17618",26.18
"181.01694612",26.173
"454.28933",26.169
"298.24536",26.166
"287.14004",26.141
"488.37477",26.116
"237.07686",26.095
"383.17667",26.093
"491.3206",26.081
"505.27452",26.077
"203.05041",26.076
"118.92559",26.07
"441.26281",26.029
